trial_id,run_block,within_block,condition_repeat,model_id,model_role,checkpoint,towel_id,color,towel_shape,pretrain_exposure,hil_exposure,test_regime,layout_id,layout_dx_mm,layout_dy_mm,layout_yaw_deg,executed_steps_m,runtime_config_id,trial_valid,invalid_reason,rerun_of,autonomous_success,correct_both_corner_grasp,lift_success,fold_success,full_task_success,fold_corner_error_mm,task_time_s,intervention_or_abort,failure_stage,failure_mode,episode_path,human_verified,notes
TS051,4,6,4,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS052,4,7,4,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS053,4,8,4,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS054,4,9,4,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS055,4,10,4,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS056,4,11,4,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS057,4,12,4,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS058,4,13,4,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS059,4,14,4,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS060,4,15,4,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS061,5,1,5,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS062,5,2,5,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS063,5,3,5,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS064,5,4,5,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS065,5,5,5,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS066,5,6,5,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS067,5,7,5,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS068,5,8,5,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS069,5,9,5,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS070,5,10,5,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS071,5,11,5,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS072,5,12,5,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS073,5,13,5,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS074,5,14,5,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS075,5,15,5,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS076,6,1,6,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS077,6,2,6,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS078,6,3,6,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS079,6,4,6,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS080,6,5,6,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS081,6,6,6,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS082,6,7,6,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS083,6,8,6,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS084,6,9,6,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS085,6,10,6,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS086,6,11,6,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS087,6,12,6,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS088,6,13,6,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS089,6,14,6,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS090,6,15,6,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS091,7,1,7,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS092,7,2,7,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS093,7,3,7,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS094,7,4,7,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS095,7,5,7,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS096,7,6,7,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS097,7,7,7,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS098,7,8,7,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS099,7,9,7,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS100,7,10,7,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS101,7,11,7,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS102,7,12,7,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS103,7,13,7,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
